Organization,full,Address,City,State,Zipcode,Phone,Hours,Type,LegnedIcon,Process,AdditionalInfo,Website,VerifiedOn,N_LON,N_LAT,N_MCODE,N_LCODE
Book Therapy,1017 Butternut Dr Abilene TX 79602,1017 Butternut Dr,Abilene,TX,79601,325-673-2242,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Individuals can access the vending machine located outside of Book Therapy, 24/7.",Naloxone vending machine provided by Abilene Recovery Council.,https://abirecovery.org/,3/31/2025,-99.73835,32.438183,S910,AS0
Abilene - Taylor County Public Health District,850 N 6th St Abilene TX 79601,850 N 6th St,Abilene,TX,79601,325-692-5600,M-F: 8a-5p,Local Health Department,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/f7eab02d7360475cbddca4ab6965f6b5/data,"Individuals can come in during business hours and request naloxone from the front desk, they will give it to you for free!",,https://abilenetx.gov/159/Public-Health,3/28/2025,-99.730798,32.454625,S800,AS0
Riverside Grocery,1495 W State Highway 71 Suite C La Grange TX 78945,1495 W State Highway 71,La Grange,TX,78945,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Individuals can access the naloxone dispenser box located outside of Riverside Grocery, 24/7.",Provided by the ICON project,,7/1/2025,-96.898434,29.901309,S800,AS0
ASAP Bail Bonds,408 Main St Suite B Liberty TX 77575,408 Main St,Liberty,TX,77575,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Individuals can access the naloxone dispenser box located outside of ASAP Bail Bonds, 24/7.",Provided by the ICON project,,7/1/2025,-94.795715,30.059001,S800,AS0
UT Health School of Public Health,1200 Pressler St Houston TX 77030,1200 Pressler St,Houston,TX,77030,713-500-9050,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Naloxone wall box located on the first floor of the school of public health building, assessible to anyone in need.",Provided by UT Health Heroes Program,,7/1/2025,-95.399315,29.704194,A890,AS0
Helen Farabee Centers,500 Broad St Wichita Falls TX 76301,500 Broad St,Wichita Falls,TX,76301,940-397-3391,M-F: 8a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Naloxone vending machine located in the front lobby.,,https://www.helenfarabee.org/,7/16/2025,-98.501712,33.910598,S800,AS0
Helen Farabee Centers (Denver St.),516 Denver St Wichita Fallas TX 76301,516 Denver St,Wichita Falls,TX,76301,940-397-3391,M-F: 8a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Naloxone vending machine located in the front lobby.,,https://www.helenfarabee.org/,7/16/2025,-98.508257,33.909174,S800,AS0
Hart Pharmacy,202 State Hwy 3 Lamarque TX 77568,202 State Hwy 3,Lamarque,TX,77568,409-938-3787,M-F: 9a-5p; Sat: 9a-1p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Narcan dispenser located inside store; individuals may access narcan during business hours.,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.968834,29.377417,AA80,AS0
One Stop Hardware,8101 Wallace Ave Hitchcock TX 77563,8101 Wallace Ave,Hitchcock,TX,77563,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside shop, available to public 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.020611,29.348998,S800,AS0
Hot Rod Diesel,7919 Hwy 6 Hitchcock TX 77563,7919 Hwy 6,Hitchcock,TX,77563,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside shop, available to public 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.017659,29.348671,S880,AS0
Gulf Coast Foursquare Church,6205 Delany Rd Hitchcock TX 77563,6205 Delany Rd,Hitchcock,TX,77563,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan located in Blessing Box outside church, available to public 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.020196,29.356547,S800,AS0
Sullivans Pharmacy,1140 Grand Ave Bacliff TX 77518,1140 Grand Ave,Bacliff,TX,77518,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside store, available 24/7; an additional dispenser is located inside the store and is available during business hours.",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.994334,29.499456,S800,AS0
Lighthouse Christian Ministries,800 Grand Ave Bacliff TX 77518,800 Grand Ave,Bacliff,TX,77518,,M-F: 10a-4p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Narcan dispenser located inside store; individuals may access narcan during business hours.,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.98811,29.50371,S800,AS0
San Leon Fire Dept.,337 12th St San Leon TX 77539,337 12th St,San Leon,TX,77539,281-559-1312,24/7,Public Safety Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/3a81f24836fc4ab9bc00ebe64425e2b8/data,"Narcan located inside building, request narcan from volunteer.",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.922956,29.492959,S800,AS0
Bayou Nutrition,2112 FM 517 Rd Dickenson TX 77539,2112 FM 517 Rd,Dickenson,TX,77539,,M-F: 6:30a-6p; Sat: 8a-2p; Sun: 8a-12p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Narcan dispenser located inside store; individuals may access narcan during business hours.,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.059942,29.4595,AA40,AS0
His Ministries Resale Shop,4205 Jackson St Santa Fe TX 77517,4205 Jackson St,Santa Fe,TX,77517,409-925-4697,"M,W,Sat: 9a-12:45p",Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,"Narcan dispenser located outside store, available 24/7; an additional dispenser is located inside the store and is available during business hours.",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.120713,29.382048,S800,AS0
DW Floral and Gifts,12625 Hwy 6 #1 Santa Fe TX 77510,12625 Hwy 6,Santa Fe,TX,77510,,M-F: 8a-6p; Sat: 10a-3p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Narcan dispenser located inside store; individuals may access narcan during business hours.,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.094026,29.374196,S880,AS0
Mt Zion Baptist Church,227 4th Ave North Texas City TX 77590,227 th Ave North,Texas City,TX,77590,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside church, available to public 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.9218,29.3938,E027,ZC5X
Coffee Connection,9300 Emmett F Lowry Expy #222 Texas City TX 77591,9300 Emmett F Lowry Expy,Texas City,TX,77591,,M-F: 7a-4p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Narcan dispenser located inside store; individuals may access narcan during business hours.,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.013604,29.400259,S800,AS0
Legal Brew,2505 23rd St N Texas City TX 77590,2505 23rd St N,Texas City,TX,77590,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside the front of hte building, available to public 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.927776,29.408477,S800,AS0
RGTC Mobile Lab Service LLC,2501 Palmer Hwy Ste 202-A Texas City TX 77590,2501 Palmer Hwy,Texas City,TX,77590,409-526-5237,M-F: 9a-2p; Sat: 9a-1p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,narcan dispenser located inside building; individuals may access narcan during business hours.,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.930919,29.394921,S800,AS0
Mod Coffee Shop,2126 Post Office St Galveston TX 77550,2126 Post Office St,Galveston,TX,77550,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan kiosk located in front of store, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.791614,29.30517,S800,AS0
Saint Vincents House,2817 Postoffice St Galveston TX 77550,2818 Post Office St,Galveston,TX,77550,409-765-2242,M-Th: 8a-5p; Fri: 8a-4p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,narcan dispenser located inside building and accessible during business hours. Additional narcan dispenser located in alley near food bank distribution,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.800063,29.302962,S800,AS0
Smoke Hut,2724 61st St Suite #4 Galveston TX 77551,2724 61st St,Galveston,TX,77551,409-256-2155,M-Sat: 9:30a-10p; Sun: 10a-9p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,narcan kiosk located inside store; accessible during business hours,Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.82909,29.272553,S800,AS0
Central Church,3308 Avenue O 1/2 Galveston TX 77550,3308 Avenue O 1/2,Galveston,TX,77550,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside church, available to public 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.801368,29.290067,S800,AS0
Rick's Vacation Rentals,17620 Termini-San Luis Pass Rd Galveston TX 77554,17620 Termini-San Luis Pass Rd,Galveston,TX,77554,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located in front of building, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.987764,29.174104,S880,AS0
Jamaica Beach City Hall,16628 Termini San Luis Pass Rd Jamaica Beach TX 77554,16628 Termini San Luis Pass Rd,Jamaica Beach,TX,77554,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located outside the front office, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-94.973452,29.182718,S800,AS0
Brazoria County Jail,3602 County Rd 45 Angleton TX 77515,3602 County Rd 45,Angleton,TX,77515,979-864-2338,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located inside Registration Building, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.405668,29.244379,S880,AS0
ADAPT Program,2512 N Velasco St #300 Angleton TX 77515,2512 N Velasco St,Angleton,TX,77515,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located outside, in front of the building, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.43324,29.190014,S800,AS0
Worthen Insurance Group,104 Melody Ln Friendswood TX 77546,104 Melody Ln,Friendswood,TX,77546,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan Dispenser located outside building, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/11/2025,-95.203368,29.537367,S800,AS0
Spence's Pharmacy,215 Oak Dr S Ste M Lake Jackson TX 77566,215 Oak Dr S Ste M,Lake Jackson,TX,77566,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located outside of building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,https://brazoriacountyrecoverycommittee.com/,8/11/2025,-95.455582,29.031022,S800,AS0
Absolute Recovery and Prevention,141 Brazosport Blvd N Clute TX 77531,141 Brazosport Blvd N,Clute,TX,77531,,24/7,freestanding dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan Dispenser located outside building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,https://brazoriacountyrecoverycommittee.com/,8/11/2025,-95.396169,29.026418,S800,AS0
Freeport Police Dept- Texas,430 N Brazosport Blvd Freeport TX 77541,430 N Brazosport Blvd,Freeport,TX,77541,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan Dispenser located outside building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,https://brazoriacountyrecoverycommittee.com/,8/11/2025,-95.373461,28.96377,S800,AS0
Ken's Inspection,1103 S Brooks St Brazoria TX 77422,1103 S Brooks St,Brazoria,TX,77422,,24/7,freestanding dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located outside building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,https://brazoriacountyrecoverycommittee.com/,8/11/2025,-95.567523,29.034965,S800,AS0
Holiday Lakes City Hall,195 N Texas Ave Holiday Lakes TX 77515,195 N Texas Ave,Holiday Lakes,TX,77515,,24/7,freestanding dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located outside building, available 24/7",monitored and donated by brazoria county recovery committee,https://brazoriacountyrecoverycommittee.com/,8/11/2025,-95.5182,29.2057,S800,ZB9E
City of Freeport City Hall,1201 N Ave H Freeport TX 77541,1201 N Ave H,Freeport,TX,77541,,24/7,freestanding dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"narcan dispenser located outside building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,https://brazoriacountyrecoverycommittee.com/,8/11/2025,-95.369682,28.971993,S880,AS0
Nexus Recovery,8733 La Prada Drive Dallas TX 75228,8733 La Prada Drive,Dallas,TX,75228,214-321-0156,M-F: 7:30a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,"Individuals can request narcan from service provider, recommended to call in advance",*serves women only*,,8/7/2025,-96.665583,32.811798,S800,AS0
Kerr County Jail,400 Clearwater Paseo Kerrville TX 78028,400 Clearwater Paseo,Kerrville,TX,78028,830-896-1216,24/7,Public Safety Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/3a81f24836fc4ab9bc00ebe64425e2b8/data,Vending machine located in the lobby of the jail and is available to the public 24/7.,Monitored and Donated by San Antonio Council on Alcohol and Drug Awareness,https://sacada.org/,8/13/2025,-99.12491,30.027393,S800,AS0
Galveston County Health District,9850 EFL Expressway Texas City TX 77591,9850 EFL Expressway,Texas City,TX,77591,409-978-4046,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,"Individuals are able to access the naloxone vending machine during business hours. Machine located at Entrance B, Suite B.105 inside Healthy Concepts Clinic/TB Clinic",Site: Health District STI clinic,,8/14/2025,-95.0044,29.3989,E020,ZC5X
Santa Fe AA Facility,12045 15th St Santa Fe TX 77517,12045 15th St,Santa Fe,TX,77517,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser locate outside building, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/20/2025,-95.083293,29.371441,S900,AS0
Jones Creek Volunteer Fire Dept,220 Peach Point Rd Freeport TX 77541,220 Peach Point Rd,Freeport,TX,77541,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan Dispenser located outside building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,,8/20/2025,-95.471182,28.980362,S801,AS0
Junie's Peer Support,1104 E Mulberry St Ste B Angleton TX 77515,1104 E Mulberry St,Angleton,TX,77515,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan Dispenser located outside building, available 24/7",Monitored and donated by Brazoria County Recovery Committee,https://brazoriacountyrecoverycommittee.com/,8/20/2025,-95.418614,29.168814,S800,AS0
HIS Ministries-West Galveston County,13136 Highway 6 Santa Fe TX 77510,13136 Highway 6,Sante Fe,TX,77510,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan Dispenser located outside building, available 24/7",Monitored and donated by Gulf Coast Outreach Services,,8/20/2025,-95.101847,29.377176,SA00,AS0
CommUnity Care,3706 S First St Austin TX 78704,3706 South First St,Austin,TX,78704,512-978-9015,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Narcan dispenser located inside the clinic lobby,,,9/4/2025,-97.768289,30.228666,S880,AS0
Central Health,1400 N Interstate Hwy 35 Austin TX 78701,1400 N Interstate Hwy 35,Austin,TX,78701,512-978-8000,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Narcan dispenser located outside building, available 24/7",,,9/4/2025,-97.732109,30.274308,S880,AS0
CommUnity Care,314 Chicon St Austin TX 78704,314 Chicon St,Austin,TX,78704,512-978-9015,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Narcan dispenser located inside the clinic lobby,,,9/4/2025,-97.72374,30.259474,S900,AS0
Amarillo Public Health,850 Martin Rd Amarillo TX 79107,850 Martin Rd,Amarillo,TX,79107,806-378-6300,M-Th: 7:30a-6p,Risk Reduction Group,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can come in anytime during business hours and requet narcan.,,,8/28/2025,-101.811964,35.223654,S800,AS0
Eighth Street Shelter by Urban Alchemy,501 8th St Austin TX 78701,501 8th St,Austin,TX,78701,512-881-8951,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Narcan dispenser located inside building,,,8/28/2025,-97.7419,30.2712,E023,ZC5X
Austin Resource Center for the Homeless (ARCH),500 East 7th St Austin TX 78701,500 East 7th St,Austin,TX,78701,512-881-8951,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Narcan available in newspaper style unit inside entryway; available upon request at front desk,,,9/4/2025,-97.737718,30.267794,S800,AS0
Central Health,5339 N IH 35 Suite 100 Austin Texas 78723,5339 N IH 35,Austin,TX,78723,512-978-8000,M-F: 8a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Narcan dispenser located insider Central Health Clinic,,,8/27/2025,-97.708259,30.312375,S880,AS0
Central Health,2802 Webberville Rd Austin TX 78702,2802 Webberville Rd,Austin,TX,78702,512-978-8000,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Naloxone located inside the clinic lobby,,,8/27/2025,-97.709584,30.265264,S800,AS0
Central Health - East Clinic,211 Comal St Austin TX 78702,211 Comal St,Austin,TX,78702,512-978-8000,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Naloxone located inside the clinic lobby,,,11/20/2025,-97.72804,30.259528,S800,AS0
CommUnityCare,"4614 N Interstate 35 Frontage Rd, Austin, TX 78751",4614 N Interstate 35 Frontage Rd,Austin,TX,78751,512-978-9051,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Wall unit holding naloxone is located inside the clinic lobby by the front desk. Anyone can walk in during normal business hours and take free naloxone. ,,https://communitycaretx.org/,9/24/2025,-97.713794,30.3054043,M,M
CommUnity Care - South Austin Health Center,"2529 S First St, Austin, TX 78704",2529 S First St,Austin,TX,78704,,,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,11/20/2025,-97.7612404,30.2390628,M,M
Endeavors - Northbridge,"7400 N IH-35, Austin, TX 78752",7400 N IH-35,Austin,TX,78752,,,Public Social Service,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/babb1b3f840344a0ba12430e24787815/data,Only shelter clients have access to naloxone/,Only shelter clients have access to naloxone/,,11/20/2025,-97.7371036,30.3383313,M,M
CommUnity Care - Hornsby Bend,"3700 Gilbert Rd, Austin, TX 78725",3700 Gilbert Rd,Austin,TX,78725,512-978-9015,M-F: 7a-6p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.5915727,30.2403653,M,M
CommUnity Care - Riverside OBGYN,"2237 E Riverside Dr, Suite 101-C, Austin, TX 78741","2237 E Riverside Dr, Suite 101-C",Austin,TX,78741,512-978-8700,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.7262194,30.2378237,M,M
CommUnity Care - Springdale OBGYN,"7112 Ed Bluestein Blvd, Suite 105, Austin, TX 78723","7112 Ed Bluestein Blvd, Suite 105",Austin,TX,78723,512-978-8700,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2025,-97.6693462,30.3143368,M,M
CommUnity Care - Sandra Joy Anderson Community Health and Wellness Center,"1705 E 11th St, Austin, TX 78702",1705 E 11th St,Austin,TX,78702,512-978-8400,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.7224083,30.2664444,M,M
Endeavors - Marshalling Yard,"1400 Airport Commerce Dr, Austin, 78741",1400 Airport Commerce Dr,Austin,TX,78741,512-539-1064,24/7,Public Social Service,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/babb1b3f840344a0ba12430e24787815/data,,,,1/6/2026,-97.689836,30.2257538,M,M
CommUnity Care - Rundberg Health Center,"825 E Rundberg Lane, Suite B-1, Austin, TX 78753","825 E Runderberg Lane, Suite B-1",Austin,TX,78753,512-978-600,M-F: 7a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.6904945,30.3571978,M,M
CommUnity Care - Southeast Health and Wellness WHAM,"2901 Montopolis Dr, Austin, TX 78741",2901 Montopolis Dr,Austin,TX,78741,512-978-9901,M-F: 7a-6p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.7109595,30.2144123,M,M
CommUnity Care - North Central,"1210 W Braker Lane, Austin, TX 78758",1210 W Braker Lane,Austin,TX,78758,512-978-9300,M-F: 7a-6p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.6952809,30.3854661,M,M
CommUnity Care - Black Men's Health Clinic,"6633 E Highway 290, Suite 100, Austin, TX 78723","6633 E Highway 290, Suite 100",Austin,TX,78723,512-642-8908,M-Th: 7a-6p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,1/6/2026,-97.6930591,30.320619,M,M
Corsicana Navarro County Public Health Department,"115 W Collin St, Corsicana, TX 75110",115 W Collin St,Corsicana,TX,75110,903-874-6711,M-F: 8a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,The machine is inside the health department. Office hours are 8:00 a.m. - 5 p.m. and closed for lunch from 12 p.m. - 1 p.m.,,,12/12/2026,-96.4639319,32.0930112,M,M
Travis County Health and Human Services,"5325 Airport Blvd, Austin, TX 78767",325 Airport Blvd,Austin,TX,78767,817-726-6763,M-F: 8a-4:30p,Public Safety Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/3a81f24836fc4ab9bc00ebe64425e2b8/data,"County services include preventative and education initiatives, including low barrier Naloxone access in first-floor facilities.",,,1/14/2026,,,,
Travis County Family and Civil Court,"1700 Guadalupe St, Austin, TX 78701",1700 Guadalupe St,Austin,TX,78701,737-235-4782,M-F: 8a-5p,Public Safety Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/3a81f24836fc4ab9bc00ebe64425e2b8/data,"County services include preventative and education initiatives, including low barrier Naloxone access in first-floor facilities.",Naloxone placed in restrooms.,,1/14/2026,,,,
Texas Parks and Wildlife Department - Mustang Island State Park,"9394 State Highway 361, Corpus Christi, 78418",9394 State Highway 361,Corpus Christi,TX,78418,361-749-5246,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Box located at state park entrance booth,Box located at state park entrance booth.,,1/28/2026,,,,
Salvation Army,"212 E 1st Ave, Corsicana, TX 75110",212 E 1st Ave,Corsicana,TX,75110,903-874-7131,M-Th: 9a-3p; F: 9a-12p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Salvation Army is open Monday-Thursday from 9 a.m. to 3 p.m. and is closed from 12 p.m. - 1 p.m. for lunch. Salvation Army is only open on Friday rom 9 a.m. to noon. If the vending machine is empty of Narcan, please ask the front desk for some.",,,2/10/2026,,,,
YMCA,"400 Oaklawn Dr., Corsicana, TX 75110",400 Oaklawn Dr.,Corsicana,TX,75110,903-872-2412,Sun-Sat: 5a-8p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"The operation hours for the YMCA are Monday - Thursday, 5 a.m. to 8 p.m., Saturday 8 a.m. to 8 p.m., and Sunday 1 p.m. to 5 p.m. The Narcan vending machine is located in the front lobby area near the kitchen. The Narcan is free.",,,2/10/2026,,,,
